# 市区町村名,府県予報区コード
# 気象庁 https://www.jma.go.jp/bosai/common/const/area.json の class20s から生成
# 再生成の手順は DESIGN.md の該当節を参照
あきる野市,130000
あさぎり町,430000
あま市,230000
あわら市,180000
いすみ市,120000
いちき串木野市,460100
いなべ市,240000
いの町,390000
いわき市,070000
うきは市,400000
うるま市,471000
えびの市,450000
えりも町,015000
おいらせ町,020000
おおい町,180000
かすみがうら市,080000
かつらぎ町かつらぎ,300000
かつらぎ町花園,300000
かほく市,170000
さいたま市,110000
さくら市,090000
さつま町,460100
さぬき市,370000
すさみ町,300000
せたな町,017000
たつの市,280000
つがる市,020000
つくばみらい市,080000
つくば市,080000
つるぎ町一宇,360000
つるぎ町半田・貞光,360000
ときがわ町,110000
にかほ市,050000
ひたちなか市,080000
ふじみ野市,110000
まんのう町,370000
みどり市,100000
みなかみ町,100000
みなべ町,300000
みやき町,410000
みやこ町,400000
みやま市,400000
みよし市,230000
むかわ町,015000
むつ市,020000
ニセコ町,016000
一宮市,230000
一宮町,120000
一戸町,030000
一関市,030000
七ヶ宿町,040000
七ヶ浜町,040000
七宗町,210000
七尾市,170000
七戸町,020000
七飯町,017000
三原市,340000
三原村,390000
三好市,360000
三宅村,130000
三宅町,290000
三島市,220000
三島村,460100
三島町,070000
三川町,060000
三戸町,020000
三春町,070000
三朝町,310000
三木市,280000
三木町,370000
三条市,150000
三次市,340000
三沢市,020000
三浦市,140000
三田市,280000
三種町,050000
三笠市,016000
三股町,450000
三芳町,110000
三豊市,370000
三郷市,110000
三郷町,290000
三鷹市,130000
上ノ国町,017000
上三川町,090000
上勝町,360000
上北山村,290000
上士幌町,014030
上天草市,430000
上富田町,300000
上富良野町,012000
上小阿仁村,050000
上尾市,110000
上山市,060000
上峰町,410000
上島町,380000
上川町,012000
上市町,160000
上松町,200000
上板町,360000
上毛町,400000
上牧町,290000
上田市,200000
上砂川町,016000
上越市,150000
上郡町,280000
上里町,110000
上野原市,190000
上野村,100000
上関町,350000
下仁田町,100000
下北山村,290000
下呂市,210000
下妻市,080000
下川町,012000
下市町,290000
下松市,350000
下條村,200000
下田市,220000
下諏訪町,200000
下郷町,070000
下野市,090000
下関市,350000
与論町,460040
与謝野町,260000
与那原町,471000
与那国町,474000
世田谷区,130000
世羅町,340000
中之条町,100000
中井町,140000
中土佐町,390000
中城村,471000
中央区,130000
中央市,190000
中富良野町,012000
中山町,060000
中島村,070000
中川村,200000
中川町,012000
中札内村,014030
中標津町,014100
中泊町,020000
中津川市,210000
中津市,440000
中種子町,460100
中能登町,170000
中野区,130000
中野市,200000
中間市,400000
中頓別町,011000
串本町,300000
